Date,Close
2000-01-03,216.75
2000-01-04,208.2
2000-01-05,213.25
2000-01-06,222.1
2000-01-07,239.9
2000-01-10,258.85
2000-01-11,238.15
2000-01-12,240.25
2000-01-13,235.45
2000-01-14,239.05
2000-01-17,250.65
2000-01-18,248
2000-01-19,250.5
2000-01-20,235.7
2000-01-21,232.2
2000-01-24,213.65
2000-01-25,196.6
2000-01-27,180.9
2000-01-28,175.2
2000-01-31,179.7
2000-02-01,175.3
2000-02-02,180.1
2000-02-03,177.35
2000-02-04,178.95
2000-02-07,177.8
2000-02-08,180.6
2000-02-09,183.65
2000-02-10,181.1
2000-02-11,169.75
2000-02-14,157.8
2000-02-15,165.8
2000-02-16,164.85
2000-02-17,166.35
2000-02-18,154.2
2000-02-21,166.55
2000-02-22,179.9
2000-02-23,168.05
2000-02-24,170.25
2000-02-25,182.9
2000-02-28,181.05
2000-02-29,166.6
2000-03-01,157.6
2000-03-02,146.8
2000-03-03,135.1
2000-03-06,138.75
2000-03-07,132.1
2000-03-08,127.5
2000-03-09,137.7
2000-03-10,129.4
2000-03-13,120.35
2000-03-14,130
2000-03-15,135.2
2000-03-16,145.4
2000-03-21,149.55
2000-03-22,146.55
2000-03-23,136.2
2000-03-24,135.25
2000-03-27,135.35
2000-03-28,133.5
2000-03-29,134.9
2000-03-30,126.75
2000-03-31,136.3
2000-04-03,142.7
2000-04-04,131.3
2000-04-05,133.55
2000-04-06,128.7
2000-04-07,138.8
2000-04-10,139.65
2000-04-11,137.95
2000-04-12,135.25
2000-04-13,129
2000-04-17,131.8
2000-04-18,121.65
2000-04-19,124.55
2000-04-20,122.7
2000-04-24,125.7
2000-04-25,127.45
2000-04-26,133.95
2000-04-27,129.2
2000-04-28,127.7
2000-05-02,126.35
2000-05-03,127.35
2000-05-04,130.9
2000-05-05,141.2
2000-05-08,144.5
2000-05-09,144.85
2000-05-10,143.8
2000-05-11,138.05
2000-05-12,129.1
2000-05-15,130.3
2000-05-16,133
2000-05-17,133.95
2000-05-18,130.75
2000-05-19,130.8
2000-05-22,130.2
2000-05-23,128.9
2000-05-24,129.75
2000-05-25,121.6
2000-05-26,118.75
2000-05-29,122.9
2000-05-30,122.8
2000-05-31,124.3
2000-06-01,122.35
2000-06-02,118.85
2000-06-05,119.15
2000-06-06,119.25
2000-06-07,121.6
2000-06-08,128.85
2000-06-09,134.5
2000-06-12,137.25
2000-06-13,138.05
2000-06-14,133.65
2000-06-15,131.4
2000-06-16,132.3
2000-06-19,134.45
2000-06-20,135.1
2000-06-21,130.6
2000-06-22,130.2
2000-06-23,129.15
2000-06-26,126.1
2000-06-27,126.7
2000-06-28,126.9
2000-06-29,126.35
2000-06-30,123.5
2000-07-03,125.7
2000-07-04,123.3
2000-07-05,126.3
2000-07-06,129.8
2000-07-07,129.05
2000-07-10,131.15
2000-07-11,132.9
2000-07-12,132.4
2000-07-13,131.75
2000-07-14,127.2
2000-07-17,126.7
2000-07-18,124.45
2000-07-19,124.45
2000-07-20,121.8
2000-07-21,117.2
2000-07-24,106.3
2000-07-25,108
2000-07-26,103.65
2000-07-27,106.2
2000-07-28,104.05
2000-07-31,92.55
2000-08-01,94.85
2000-08-02,98.35
2000-08-03,95.1
2000-08-04,93.45
2000-08-07,91.65
2000-08-08,92.25
2000-08-09,93.95
2000-08-10,92.65
2000-08-11,90.85
2000-08-14,87.1
2000-08-16,89.55
2000-08-17,90.45
2000-08-18,89.6
2000-08-21,90.95
2000-08-22,92.35
2000-08-23,95.8
2000-08-24,94.2
2000-08-25,95.6
2000-08-28,104.75
2000-08-29,102.1
2000-08-30,99.5
2000-08-31,100.1
2000-09-04,98
2000-09-05,101.05
2000-09-06,102
2000-09-07,102.3
2000-09-08,99.9
2000-09-11,96.85
2000-09-12,95.5
2000-09-13,95.45
2000-09-14,94.35
2000-09-15,91.35
2000-09-18,92.05
2000-09-19,89.55
2000-09-20,91.3
2000-09-21,89.25
2000-09-22,85.95
2000-09-25,86.5
2000-09-26,82.5
2000-09-27,83.85
2000-09-28,81.35
2000-09-29,81.5
2000-10-03,81.75
2000-10-04,84.3
2000-10-05,82.5
2000-10-06,80.75
2000-10-09,79.95
2000-10-10,79.15
2000-10-11,77.85
2000-10-12,77.9
2000-10-13,77.5
2000-10-16,76.6
2000-10-17,74.85
2000-10-18,75.35
2000-10-19,73.95
2000-10-20,73.05
2000-10-23,69.1
2000-10-24,68.55
2000-10-25,71.7
2000-10-26,72.6
2000-10-27,71.9
2000-10-30,70.7
2000-10-31,70.15
2000-11-01,73.85
2000-11-02,77.35
2000-11-03,86.5
2000-11-06,88.85
2000-11-07,87.4
2000-11-08,86.05
2000-11-09,83
2000-11-10,79.15
2000-11-13,75.1
2000-11-14,77.5
2000-11-15,78.4
2000-11-16,78.55
2000-11-17,77.45
2000-11-20,82.85
2000-11-21,83.35
2000-11-22,81.05
2000-11-23,83.6
2000-11-24,87.7
2000-11-27,89.55
2000-11-28,92.05
2000-11-29,87.25
2000-11-30,87.9
2000-12-01,86.3
2000-12-04,88.7
2000-12-05,90.5
2000-12-06,91.65
2000-12-07,97.1
2000-12-08,99.65
2000-12-11,100
2000-12-12,97.5
2000-12-13,98.3
2000-12-14,97.15
2000-12-15,91.3
2000-12-18,93.8
2000-12-19,93.4
2000-12-20,92.8
2000-12-21,92.6
2000-12-22,87
2000-12-26,83.5
2000-12-27,84.8
2000-12-28,86.85
2000-12-29,88.1
2001-01-01,89.05
2001-01-02,93.75
2001-01-03,101.65
2001-01-04,105.25
2001-01-05,103.55
2001-01-08,101.25
2001-01-09,99.05
2001-01-10,93.65
2001-01-11,93.75
2001-01-12,91.9
2001-01-15,89.35
2001-01-16,90.1
2001-01-17,87.1
2001-01-18,90.9
2001-01-19,91.3
2001-01-22,95.55
2001-01-23,94.8
2001-01-24,95.35
2001-01-25,93.75
2001-01-29,95
2001-01-30,95.35
2001-01-31,93.95
2001-02-01,90.55
2001-02-02,90.3
2001-02-05,96.8
2001-02-06,102.55
2001-02-07,104.8
2001-02-08,105.9
2001-02-09,105.2
2001-02-12,98.95
2001-02-13,98.25
2001-02-14,100.55
2001-02-15,104.5
2001-02-16,108.5
2001-02-19,112.1
2001-02-20,109.6
2001-02-21,105.85
2001-02-22,102.85
2001-02-23,95
2001-02-26,97.75
2001-02-27,98.25
2001-02-28,102.9
2001-03-01,106.2
2001-03-02,95.8
2001-03-05,92
2001-03-07,92.2
2001-03-08,92.3
2001-03-09,78.5
2001-03-12,74.45
2001-03-13,67.45
2001-03-14,74.55
2001-03-15,76.05
2001-03-16,73.05
2001-03-19,74.85
2001-03-20,73.15
2001-03-21,73.95
2001-03-22,70.6
2001-03-23,68.2
2001-03-26,67.2
2001-03-27,68.9
2001-03-28,69.95
2001-03-29,69.35
2001-03-30,65.3
2001-04-02,61
2001-04-03,58.8
2001-04-04,61.65
2001-04-06,64.35
2001-04-09,65.95
2001-04-10,64.15
2001-04-11,63.3
2001-04-12,63.05
2001-04-16,63
2001-04-17,65.75
2001-04-18,69.1
2001-04-19,69.1
2001-04-20,66.75
2001-04-23,68.6
2001-04-24,72.4
2001-04-25,74.1
2001-04-26,75.15
2001-04-27,71.8
2001-04-30,75.6
2001-05-02,74.75
2001-05-03,72.9
2001-05-04,74.5
2001-05-07,73.45
2001-05-08,74.85
2001-05-09,76.25
2001-05-10,77.3
2001-05-11,75.3
2001-05-14,75
2001-05-15,74.15
2001-05-16,79.15
2001-05-17,82.65
2001-05-18,82.6
2001-05-21,82.25
2001-05-22,81.05
2001-05-23,80.7
2001-05-24,81.2
2001-05-25,78.85
2001-05-28,80.3
2001-05-29,83.9
2001-05-30,84.6
2001-05-31,82.25
2001-06-01,80.65
2001-06-04,79.2
2001-06-05,78.45
2001-06-06,77
2001-06-07,73.9
2001-06-08,75.45
2001-06-11,74.45
2001-06-12,74.4
2001-06-13,73.3
2001-06-14,71.5
2001-06-15,68.4
2001-06-18,68.25
2001-06-19,65.3
2001-06-20,65.95
2001-06-21,64.25
2001-06-22,61.15
2001-06-25,58.85
2001-06-26,60.45
2001-06-27,62.35
2001-06-28,62.7
2001-06-29,62.4
2001-07-02,63.65
2001-07-03,60.5
2001-07-04,60.3
2001-07-05,64.4
2001-07-06,64.55
2001-07-09,67.35
2001-07-10,72.1
2001-07-11,74.85
2001-07-12,74.2
2001-07-13,70.05
2001-07-16,68.85
2001-07-17,70.3
2001-07-18,71
2001-07-19,70.7
2001-07-20,71.3
2001-07-23,69.9
2001-07-24,77.45
2001-07-25,74.6
2001-07-26,74.5
2001-07-27,69.65
2001-07-30,65.95
2001-07-31,70.7
2001-08-01,68.95
2001-08-02,69.85
2001-08-03,69.4
2001-08-06,71.6
2001-08-07,74
2001-08-08,74.8
2001-08-09,75.15
2001-08-10,76.5
2001-08-13,78.8
2001-08-14,79.8
2001-08-16,82.65
2001-08-17,81.6
2001-08-20,77.6
2001-08-21,73.85
2001-08-23,75.15
2001-08-24,74.8
2001-08-27,76.75
2001-08-28,73.15
2001-08-29,75.1
2001-08-30,74.85
2001-08-31,75.5
2001-09-03,75.85
2001-09-04,76.95
2001-09-05,76.5
2001-09-06,75.55
2001-09-07,74.6
2001-09-10,74.8
2001-09-11,74.85
2001-09-12,69.85
2001-09-13,70.9
2001-09-14,67.1
2001-09-17,63.7
2001-09-18,65.3
2001-09-19,70.85
2001-09-20,71
2001-09-21,68.95
2001-09-24,68.7
2001-09-25,71.05
2001-09-26,69.8
2001-09-27,68.2
2001-09-28,69.05
2001-10-01,67.35
2001-10-03,70.5
2001-10-04,68.75
2001-10-05,70.3
2001-10-08,69.8
2001-10-09,69.8
2001-10-10,68.3
2001-10-11,70
2001-10-12,71.15
2001-10-15,73.7
2001-10-16,76.45
2001-10-17,76.15
2001-10-18,75.7
2001-10-19,76.75
2001-10-22,84.45
2001-10-23,86.7
2001-10-24,80.55
2001-10-25,82.15
2001-10-29,82.7
2001-10-30,80
2001-10-31,84.8
2001-11-01,83.7
2001-11-02,83.15
2001-11-05,80.8
2001-11-06,83.15
2001-11-07,83.25
2001-11-08,86.9
2001-11-09,91.35
2001-11-12,89.2
2001-11-13,89.7
2001-11-14,93.9
2001-11-15,94.2
2001-11-19,101.15
2001-11-20,99.1
2001-11-21,101.3
2001-11-22,103.7
2001-11-23,103.2
2001-11-26,101.7
2001-11-27,99.95
2001-11-28,102.4
2001-11-29,104.4
2001-12-03,106.65
2001-12-04,110.55
2001-12-05,107.8
2001-12-06,107.85
2001-12-07,102.15
2001-12-10,102.5
2001-12-11,105.4
2001-12-12,106.15
2001-12-13,101.5
2001-12-14,103.9
2001-12-18,106.55
2001-12-19,101.5
2001-12-20,98.4
2001-12-21,97.5
2001-12-24,95.85
2001-12-26,96.4
2001-12-27,94.55
2001-12-28,96.5
2001-12-31,99.85
2002-01-01,100.75
2002-01-02,99.2
2002-01-03,100.55
2002-01-04,101.25
2002-01-07,99.65
2002-01-08,99.55
2002-01-09,101.5
2002-01-10,106.65
2002-01-11,111.5
2002-01-14,117.25
2002-01-15,115.95
2002-01-16,124.4
2002-01-17,130.7
2002-01-18,127.2
2002-01-21,116.6
2002-01-22,120.7
2002-01-23,124.1
2002-01-24,121.4
2002-01-25,121.7
2002-01-28,116.85
2002-01-29,119.3
2002-01-30,120.5
2002-01-31,125.05
2002-02-01,126.4
2002-02-04,127.5
2002-02-05,124.25
2002-02-06,135.1
2002-02-07,139.1
2002-02-08,135.2
2002-02-11,146.85
2002-02-12,145.15
2002-02-13,140.9
2002-02-14,142.65
2002-02-15,139
2002-02-18,138.05
2002-02-19,136.75
2002-02-20,137.05
2002-02-21,137.75
2002-02-22,136.9
2002-02-25,141.25
2002-02-26,146.85
2002-02-27,143.45
2002-02-28,141.4
2002-03-01,143.7
2002-03-04,139.05
2002-03-05,131.35
2002-03-06,126.2
2002-03-07,129.45
2002-03-08,133.45
2002-03-11,134.8
2002-03-12,129.75
2002-03-13,130.35
2002-03-14,128.75
2002-03-15,130.05
2002-03-18,136.4
2002-03-19,131.15
